Agency Name,Topic,examples
Department of the Treasury,Human Resources,Research / Discovery on GenAI Product for HR; Employee Resource Center (ERC) Chatbot; GenAI for Low Code Platform
Department of the Treasury,Information Technology,OCC.Chat; OCC.InfoAssist; OCC Guidance Summarization
Department of the Treasury,NULL,Volunteer Income Tax Assistance (VITA) Generative AI Chatbot Proof of Concept; Digital Forensics Chatbot for IRS Employees; Generative AI for Form 1040X: Support Tool for Amended Returns (STAR)
Department of the Treasury,Procurement and Financial Management,Sub-Asset Maintenance Model; Ink and Paper Consumption Forecast (IPCF); Inventory Replenishment Forecast
Department of the Treasury,Science,Using Text Summarization for Open-Ended Survey Responses; Programmatic Access to LLMs via API; NCCBR Data Validation Pilot
Department of the Treasury,Service Delivery,Rulemaking Comment Analytics; Regulatory Rule Analysis; Public Information Analysis
Election Assistance Commission,Administrative Functions,Internal Generative AI Tools for Staff Productivity; Grants Lifecycle Application System; Routing emails from shared inboxes
Election Assistance Commission,Service Delivery,AI Answers in Clearinghouse Network
Environmental Protection Agency,Administrative Functions,Preparation of Brownfields Success Stories; Microsoft Power Automate (custom document processing model); Summarize and draft response to comments
Environmental Protection Agency,Cybersecurity,CUI Marking Tool
Environmental Protection Agency,Energy and the Environment,Using machine learning methods to analyze drivers of water quality
Environmental Protection Agency,Human Resources,SF182 Form and Policy Assistant
Environmental Protection Agency,Information Technology,Helpdesk chat assistant for common data system tasks; OPP Document Data Extraction
Environmental Protection Agency,Law Enforcement,FFEO TSCA investigation into privatized military housing property management companies; Briefcam; AI-Enhanced Facility Finder
Environmental Protection Agency,NULL,Energy Star Awards Application Profile Drafting; Natural Gas Star Videos; Transitioning historical help desk knowledge to new help desk software
Environmental Protection Agency,Science,Streamflow Duration Assessment Modeling; Living Literature Review: Semi-automated Literature Screening
Environmental Protection Agency,Service Delivery,AI Assistants in Esri Tools; RelativityOne Gov aiR; Semantic search of qualitative data
Farm Credit Administration,Administrative Functions,User training in agency learning management system
Farm Credit Administration,Other,Loan information retrieval; Examination knowledge assistant
Federal Communications Commission,Information Technology,AI-Enhanced ULS Reverse Engineering; ECFS Comment Analytics Deduplication Services (CADS); Comment Legal Analysis & Review Assistant
Federal Deposit Insurance Corporation,Administrative Functions,Goals and Workload Assumptions; CFOO Admin Chatbot; Corporate Impact Analysis Object
Federal Deposit Insurance Corporation,Human Resources,Automatically-Scored Writing Assessment (AWA); FDIC Staffing Model; Criminal Background Investigation
Federal Deposit Insurance Corporation,Information Technology,Knowledge Article Generation; Immersive Learning; AI Assisted Data Collection
Federal Deposit Insurance Corporation,Law Enforcement,OIG computer forensics investigation tools.
Federal Deposit Insurance Corporation,NULL,Plain Language Policy Assistant; Student Monitoring; Plagiarism Detection
Federal Deposit Insurance Corporation,Other,Compliance Risk Monitoring; Pre-Examination Planning Monitoring; HMDA (Home Mortgage Disclosure Act) Outlier Screen
Federal Deposit Insurance Corporation,Procurement and Financial Management,FDIC Predictive Budget Analysis; CFOO Travel Chatbot; CFOO Transactional Data Analysis
Federal Energy Regulatory Commission,Energy and the Environment,Summarization & Policy Analysis for Regulatory Comments (originally Leverage AI in the Rulemaking Process Use Case); Improve Safety Inspections Use Case; Enhance Market Surveillance and Fraud Detection Use Case
Federal Energy Regulatory Commission,Other,AI Enabled Assistant Legal Research
Federal Housing Finance Agency,Administrative Functions,LexisNexis; WestLaw; Mathematical formula transcription using Commonlook Online
Federal Housing Finance Agency,Cybersecurity,Phishing Email Identification; Security and network monitoring using Cisco Identify Services engine; Security and Compliance in file sharing and collaboration using Kiteworks
Federal Housing Finance Agency,Information Technology,"Neural Networks for FHFA Modeling Analytics Platform (FMAP); Virtual Desktop using Citrix; Analytics, Indexing, and Anomaly Detection for Data Management on SQL Server"
Federal Housing Finance Agency,NULL,"Public Comments Summarization and Topic Classifications Pilot Project; Analytics,, Search, Queries and LLM integration for data management on Oracle; Python modules to support AI/ML"
Federal Housing Finance Agency,Procurement and Financial Management,Virtual Acquisition Office (VAO) Ally
Federal Reserve Board,Human Resources,Virtual Benefits Assistant
Federal Reserve Board,Information Technology,PDF Optical Character Recognition (Text); PDF Optical Character Recognition (Images)
Federal Reserve Board,Law Enforcement,Body Worn Cameras Data Management System
Federal Reserve Board,Other – Economic & Financial,Economic Trend Modeling; Stock Market Analysis; Commercial Real Estate Index
Federal Trade Commission,Information Technology,Analytic Sandbox
Federal Trade Commission,Law Enforcement,Automatic PSC Classification; Group Duplicate Complaints; Word Cloud
Federal Trade Commission,Other,Chatbot; Developer Productivity; Microsoft 365 Copilot
General Services Administration,Administrative Functions,ASSIST ECF Autoclassification and Summary; Enterprise Management Program Management Office Chatbot; Public Comments Analysis
General Services Administration,Cybersecurity,Cybersecurity Chatbot; Elastic Machine Learning Threat Detection (Phase 1); Elastic Machine Learning Threat Detection (Phase 2)
General Services Administration,Information Technology,Improve ASSIST Application Help; ASSIST Global Search and Inference; ReDux Toolkit
General Services Administration,Other,Category Taxonomy Refinement Using NLP
General Services Administration,Procurement and Financial Management,ASSIST Auto Copy and Summarize; Leveraging Retrieval Augmented Generation (RAG) AI to Power Outcome-Based Contracting; SINSpector: Using Generative AI to Enforce Scope and Compliance
General Services Administration,Service Delivery,FAS Catalog Platform - Virtual Assistant; AI in Public Experience (PX) Contact Center Services Blanket Purchase Agreement (BPA); Login.gov: artificial intelligence technology used for detecting and mitigating fraud for remote unsupervised identity verification
National Aeronautics and Space Administration,Administrative functions,Autonomous WAiting Room Evaluation (AWARE); OCFO External Performance Reporting; Using LLMS for Documents and Requirements Analysis
National Aeronautics and Space Administration,Cybersecurity,Autonomous Network Security
National Aeronautics and Space Administration,Emergency Management,Aerial AId: Visual data processing with AI in emergency scenarios for quick decision making
National Aeronautics and Space Administration,Health and Medical,"AI Digital Assistants (HRP) [was ""Doc in a Box"" for Earth Independent Medical Operations (EIMO)]; Personal Health Information (PHI) AI Platform; Space Precision Health Foundation Model"
National Aeronautics and Space Administration,Information Technology,Coupled Loads Analysis Research Assistant (CLARA); SVM Classification of Write-in Topics from MSD Customer Sat Survey; Software Issue Classification with LLM
National Aeronautics and Space Administration,Law Enforcement,Intelligent Camera Analytics for Security and Operations
National Aeronautics and Space Administration,NULL,Volcano SensorWeb
National Aeronautics and Space Administration,Other (use other text field),Borescope Artificial Intelligence (BAI); AI-enabled Risk-Informed Assessment Selection (RIAS) tool; AI-Assisted Analysis Across the IV&V and Software Assurance Lifecycle
National Aeronautics and Space Administration,Procurement and Financial Management,OCFO Credit Risk and Defaul Estimation Tool; OCFO President Budget Request RAG
National Aeronautics and Space Administration,Science,Anomaly Detection and Precursor Identification in UAV flight data; Deep Learning for Flood Mapping (DELTA); Distributed Spacecraft Autonomy
National Aeronautics and Space Administration,Service Delivery,Machine Learning for Entity Matching; Automated Data Normalization for Institutional Records; Automating Data Stewardship for Temporary Account Reconciliation
National Aeronautics and Space Administration,Transportation,Autoresolver/Tailored Arrival Manager; Explainable and robust deep semi-supervised model for multi-class anomaly detection in flight data; Machine Learning Airport Surface Model: Airport Configuration Prediction
National Archives and Records Administration,Other,Generative AI Solutions for Workplace Productivity (aka Gemini); A1 Museum AI Project; NARA@WORK Kendra Search
National Credit Union Administration,Procurement and Financial Management,Machine Learning Data Validation; Supervisory Stress Testing; Risk Indicator Model
National Endowment for the Arts,Cybersecurity,Managing Cybersecurity Controls
National Endowment for the Arts,Information Technology,Managing Help Desk Tickets - Self Service
National Endowment for the Arts,Service Delivery,"Categorizing Grant Subjects from Grant Applicants; External ""Public Facing"" Chatbot"
National Indian Gaming Commission,Administrative Functions,LexisNexus; Adobe Photoshop AI (AI Plugin); Microsoft Copilot
National Science Foundation,NULL,"ServiceNow GenAI ""Now Assist""; Budget Area Topic Classification Tool; AI voice over"
National Transportation Safety Board,Administrative Functions,FOIAXpress AI assistant
National Transportation Safety Board,Emergency Management,Dataminr
National Transportation Safety Board,Other,Voice to text transcription
National Transportation Safety Board,Service Delivery,Semantic Similarity Text Search
Nuclear Regulatory Commission,Energy and the Environment,"Text Retrieval and Generation for NRC Staff Support; Support routine administrative tasks and enhancing communications; Unified, secure access to multiple advanced AI language models"
Occupational Safety and Health Review Commission,Other,Westlaw Edge
Office of Special Counsel,Government Benefits Processing,Copilot Studio
Pension Benefit Guaranty Corporation,Cybersecurity,IT Security Monitoring; IT Security and Privacy Control Assessment
Pension Benefit Guaranty Corporation,Government Benefits Processing,Pension Plan Summary Report Assistance; Analysis of Plan Benefits for Standard Terminations
Pension Benefit Guaranty Corporation,Human Resources,AI-Assisted Training Development; Position Description Analysis and Consolidation
Pension Benefit Guaranty Corporation,Information Technology,"Synthetic Data Generation; Intelligent, auto-generated meeting summaries, notes, and tasks; IT Service Management Virtual Agent and Automation"
Pension Benefit Guaranty Corporation,Law Enforcement,AI-Assisted Recognition and Redaction for Legal/Litigation Matters
Pension Benefit Guaranty Corporation,Procurement and Financial Management,AI-Assisted Contracting Content/Document Creation; Federal Accounting Statutes and Guidelines Alignment; Legislative and Regulatory Analysis / Automation (Actuarial/Financial)
Pension Benefit Guaranty Corporation,Service Delivery,Media Content Generation
Securities and Exchange Commission,Administrative Functions,Extracting data from FOIA request forms; Create description of documents for records management in sharepoint
Securities and Exchange Commission,Cybersecurity,Evaluating Cybersecurity Alerts; Augmenting cyber threat alerts on the ACES platform with ACES's specific information.
Securities and Exchange Commission,Human Resources,Training Conversation Tool
Securities and Exchange Commission,Information Technology,Agentic Knowledge Base of Amazon Web Services Cloud Environment for the Securities and Exchange Commission (ACES); AI-enabled information collection and curation; AI-enabled information dissemination
Securities and Exchange Commission,Law Enforcement,Single Event Insider Trading Analysis
Securities and Exchange Commission,NULL,Comment Letter Review and Analysis; Forms Filed; Tailored Shareholder Report (TSR)
Securities and Exchange Commission,Other,8-K Filing Solution; CF Staff Review Comments; Name Matching
Securities and Exchange Commission,Service Delivery,"Large Language Model analysis for the Tips, Complaints and Referrals (TCR) system; Enhancing Analysis of SEC Web Engagement Trends Using AI; Identifying Citations of SEC Publications to Measure Market Impact"
Small Business Administration,Administrative Functions,Internal OFO Chatbot Recommender; Amazon Q in Connect; Customer Response
Small Business Administration,Cybersecurity,Security Team Productivity Enhancement; AI Resolution Notes Generation; AI Vulnerability Ticket Deduplication
Small Business Administration,Information Technology,Office of Advocacy AI System-Prompt Suite; Predictive AIOps; Data Analysis and Visualization AI
Small Business Administration,Service Delivery,Meeting Minutes Summary Tool; Business Development; Audit Green Book Classification
Social Security Administration,Administrative Functions,PolicyNet Plain Language Search Engine
Social Security Administration,Cybersecurity,Application Observability Support; Digital Identity Verification Services
Social Security Administration,Government Benefits Processing,Insight; Intelligent Medical Language Analysis Generation (IMAGEN); Duplicate Identification Process
Social Security Administration,Health and Medical,Therapy Chatbot - Text-Based Mental Health Support for SSA Employees
Social Security Administration,Human Resources,Training Interaction Simulator; Human Resource Chatbot; Training Audio and Video Generation
Social Security Administration,Information Technology,Generative Artificial Intelligence (AI) for Analytic Insights; Agency Support Companion (ASC) chatbot; Data Governance Product (DGP) -  Data cataloging and predictive analysis of data assets.
Social Security Administration,Other,Benefit and Earnings Public Use File
Social Security Administration,Service Delivery,"SSA 800# Public Question & Answer Bot and OIG Hotline recording of fraud, waste and abuse.; Customer Insight Tool; AI Comment Analysis"
Surface Transportation Board,Other,Copilot for Appian; RelativityOne
Tennessee Valley Authority,Administrative Functions,Natural Reader; Copilot; ChatSPP
Tennessee Valley Authority,Cybersecurity,Cisco ML
Tennessee Valley Authority,Energy and the Environment,Extreme Load Analysis; Materials Intelligent Catalog Assistant; Vegetation Management
Tennessee Valley Authority,Human Resources,AWS Transcribe
Tennessee Valley Authority,Information Technology,Advanced Network Anomaly Detection; Perimeter Defense; AI-Enhanced Search
Tennessee Valley Authority,Other,Westlaw
